frame_number,num_detections,detection_time,avg_similarity_time,total_time
1,3,1.901472806930542,0.12195054690043132,2.267324447631836
2,3,0.5889225006103516,0.11447898546854655,0.9323594570159912
3,3,0.6084306240081787,0.11668666203816731,0.9584906101226807
4,3,0.5582902431488037,0.11780095100402832,0.9116930961608887
5,3,0.49335432052612305,0.10768914222717285,0.8164217472076416
6,3,0.5178380012512207,0.12565104166666666,0.8947911262512207
7,3,0.5389509201049805,0.12065450350443523,0.9009144306182861
8,3,0.4996676445007324,0.11056041717529297,0.8313488960266113
9,4,0.5429160594940186,0.10093146562576294,0.9466419219970703
10,3,0.543588399887085,0.11651857693990071,0.8931441307067871
11,3,0.5506114959716797,0.11524248123168945,0.896338939666748
12,4,0.5537278652191162,0.121021568775177,1.0378141403198242
13,3,0.5232968330383301,0.11208001772562663,0.85953688621521
14,3,0.543302059173584,0.1170504887898763,0.8944535255432129
15,3,0.5292835235595703,0.13013982772827148,0.9197030067443848
